    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1113TS278_4o      278     PEZYFoldings         0.968    0.969    2        A2       C2        2        0.04     186      0        90.3     89.00      91.60       0.908      0.836      0.91           2          334        0.03     1.33       0.89       4193.0     2554.7     1638.3     0.963     c3:12.30; c2:0.03
113 T1113TS119_3o      119     Kiharalab            0.854    0.855    2        A2       C2        2        0.11     178      0        75.9     73.60      78.40       0.863      0.668      0.86           2          334        0.08     2.11       1.73       4369.5     2595.8     1773.7     0.914     c3:12.60; c2:0.07
114 T1113TS399_4o      399     BeijingAIProtein     0.853    0.854    2        A2       C2        2        0.08     174      0        76.5     75.10      77.80       0.836      0.657      0.86           2          334        0.08     2.23       1.80       4143.4     2339.9     1803.5     0.908     c3:12.60; c2:0.06
115 T1113TS054_4o      054     UltraFold            0.853    0.854    2        A2       C2        2        0.08     174      0        76.5     75.10      77.80       0.836      0.657      0.86           2          334        0.08     2.23       1.80       4143.4     2339.9     1803.5     0.908     c3:12.60; c2:0.06
116 T1113TS147_1o      147     SHT                  0.853    0.854    2        A2       C2        2        0.13     178      0        74.9     70.20      80.20       0.847      0.669      0.84           2          334        0.08     2.13       1.74       3515.3     1978.1     1537.2     0.912     c3:12.62; c2:0.09
117 T1113TS360_1o      360     MUFold_H             0.853    0.854    2        A2       C2        2        0.05     171      0        77.0     75.00      79.00       0.835      0.660      0.87           2          334        0.08     2.23       1.79       4291.2     2517.8     1773.4     0.908     c3:12.60; c2:0.04
118 T1113TS071_2o      071s    RaptorX-Multimer     0.852    0.852    2        A2       C2        2        0.04     174      0        77.4     75.90      79.00       0.843      0.656      0.85           2          334        0.08     2.28       1.82       4264.5     2572.3     1692.2     0.904     c3:12.63; c2:0.03
119 T1113TS348_1o      348     Takeda-Shitaka_Lab   0.852    0.853    2        A2       C2        2        0.08     180      0        76.7     73.90      79.60       0.849      0.657      0.87           2          334        0.09     2.26       1.77       4146.3     2423.9     1722.4     0.906     c3:12.64; c2:0.05
120 T1113TS003_2o      003     MULTICOM_human       0.852    0.853    2        A2       C2        2        0.05     177      0        74.6     72.70      76.60       0.851      0.684      0.87           2          334        0.06     1.88       1.58       4057.2     2305.3     1752.0     0.929     c3:19.77; c2:0.03
121 T1113TS367_4o      367     MULTICOM             0.852    0.853    2        A2       C2        2        0.03     171      0        75.6     73.40      77.80       0.858      0.661      0.90           2          334        0.07     2.14       1.65       4437.8     2510.9     1926.9     0.912     c3:12.63; c2:0.02
122 T1113TS374_3o      374     Zheng                0.852    0.853    2        A2       C2        2        0.06     172      0        75.4     73.00      77.80       0.846      0.695      0.89           2          334        0.06     1.83       1.54       4035.2     2216.6     1818.6     0.933     c3:12.50; c2:0.04
123 T1113TS374_2o      374     Zheng                0.852    0.852    2        A2       C2        2        0.04     172      0        75.7     73.20      78.40       0.856      0.702      0.87           2          334        0.06     1.75       1.53       3992.5     2092.8     1899.7     0.937     c3:12.45; c2:0.03
124 T1113TS367_5o      367     MULTICOM             0.852    0.853    2        A2       C2        2        0.04     166      0        75.7     74.10      77.20       0.871      0.661      0.90           2          334        0.07     2.13       1.73       4184.1     2270.9     1913.1     0.913     c3:12.59; c2:0.03
125 T1113TS086_2o      086s    MULTICOM_qa          0.851    0.851    2        A2       C2        2        0.05     173      0        74.6     72.70      76.60       0.849      0.673      0.87           2          334        0.06     1.96       1.63       4110.8     2249.6     1861.2     0.923     c3:12.53; c2:0.03
126 T1113TS158_4o      158s    MULTICOM_deep        0.851    0.851    2        A2       C2        2        0.05     173      0        74.6     72.70      76.60       0.849      0.673      0.87           2          334        0.06     1.96       1.63       4110.8     2249.6     1861.2     0.923     c3:12.53; c2:0.03
127 T1113TS071_4o      071s    RaptorX-Multimer     0.851    0.853    2        A2       C2        2        0.08     174      0        76.4     74.40      78.40       0.846      0.683      0.87           2          334        0.07     1.98       1.59       4306.2     2482.9     1823.3     0.925     c3:12.52; c2:0.06
128 T1113TS399_3o      399     BeijingAIProtein     0.851    0.852    2        A2       C2        2        0.10     173      0        75.7     73.20      78.40       0.846      0.635      0.85           2          334        0.09     2.43       1.95       3894.4     2197.8     1696.6     0.893     c3:12.66; c2:0.06
129 T1113TS298_3o      298s    MUFold               0.851    0.852    2        A2       C2        2        0.05     178      0        76.1     73.30      79.00       0.834      0.652      0.84           2          334        0.09     2.33       1.86       4082.3     2481.1     1601.2     0.901     c3:12.62; c2:0.04
130 T1113TS054_3o      054     UltraFold            0.851    0.852    2        A2       C2        2        0.10     173      0        75.7     73.20      78.40       0.846      0.635      0.85           2          334        0.09     2.43       1.95       3894.4     2197.8     1696.6     0.893     c3:12.66; c2:0.06
131 T1113TS423_5o      423     trComplex            0.850    0.851    2        A2       C2        2        0.08     176      0        76.2     74.70      77.80       0.842      0.642      0.85           2          334        0.09     2.39       1.88       4137.5     2441.9     1695.6     0.897     c3:12.66; c2:0.05
132 T1113TS360_2o      360     MUFold_H             0.850    0.851    2        A2       C2        2        0.09     177      0        77.0     74.00      80.20       0.838      0.636      0.85           2          334        0.09     2.47       1.95       4157.8     2402.0     1755.8     0.891     c3:12.70; c2:0.06
133 T1113TS444_1o      444     CoDock               0.850    0.852    2        A2       C2        2        0.21     168      0        76.7     77.40      76.00       0.854      0.612      0.89           2          334        0.08     2.54       1.96       4475.9     2714.7     1761.2     0.883     c3:12.70; c2:0.15
134 T1113TS125_2o      125s    UltraFold_Server     0.850    0.851    2        A2       C2        2        0.10     166      0        76.6     75.90      77.20       0.844      0.660      0.91           2          334        0.08     2.15       1.76       4332.7     2480.9     1851.8     0.916     c3:12.53; c2:0.07
135 T1113TS360_4o      360     MUFold_H             0.850    0.851    2        A2       C2        2        0.05     170      0        76.5     75.10      77.80       0.834      0.642      0.87           2          334        0.09     2.36       1.89       4397.6     2601.3     1796.3     0.899     c3:12.67; c2:0.04
136 T1113TS125_3o      125s    UltraFold_Server     0.850    0.851    2        A2       C2        2        0.06     176      0        75.0     72.90      77.20       0.831      0.643      0.87           2          334        0.09     2.34       1.87       4223.2     2399.0     1824.2     0.901     c3:12.63; c2:0.04
137 T1113TS348_4o      348     Takeda-Shitaka_Lab   0.850    0.851    2        A2       C2        2        0.05     172      0        76.8     75.30      78.40       0.846      0.634      0.86           2          334        0.09     2.44       1.93       4066.2     2283.5     1782.7     0.894     c3:12.70; c2:0.03
138 T1113TS298_4o      298s    MUFold               0.850    0.851    2        A2       C2        2        0.09     177      0        77.0     74.00      80.20       0.838      0.636      0.85           2          334        0.09     2.47       1.95       4157.8     2402.0     1755.8     0.891     c3:12.70; c2:0.06
139 T1113TS288_5o      288s    DFolding-server      0.850    0.850    2        A2       C2        2        0.07     178      0        76.6     74.90      78.40       0.833      0.649      0.86           2          334        0.09     2.33       1.85       4095.7     2294.1     1801.7     0.901     c3:12.61; c2:0.05
140 T1113TS187_5o      187     TRFold               0.850    0.851    2        A2       C2        2        0.08     176      0        76.2     74.70      77.80       0.842      0.642      0.85           2          334        0.09     2.39       1.88       4137.5     2441.9     1695.6     0.897     c3:12.66; c2:0.05
141 T1113TS350_4o      350     ClusPro              0.849    0.850    2        A2       C2        2        0.09     169      0        74.4     70.80      78.40       0.820      0.641      0.87           2          334        0.09     2.37       1.86       3517.8     1879.1     1638.7     0.899     c3:12.63; c2:0.06
142 T1113TS390_4o      390s    NBIS-AF2-multimer    0.849    0.849    2        A2       C2        2        0.13     167      0        77.8     79.00      76.60       0.876      0.646      0.87           2          334        0.08     2.27       1.84       4161.7     2241.2     1920.5     0.903     c3:12.62; c2:0.08
143 T1113TS150_4o      150     Grudinin             0.849    0.849    2        A2       C2        2        0.13     167      0        77.8     79.00      76.60       0.876      0.646      0.87           2          334        0.07     2.27       1.84       4183.4     2239.3     1944.1     0.903     c3:12.62; c2:0.08
144 T1113TS320_4o      320     Elofsson             0.849    0.849    2        A2       C2        2        0.13     167      0        77.8     79.00      76.60       0.876      0.646      0.87           2          334        0.08     2.27       1.84       4161.7     2241.2     1920.5     0.903     c3:12.62; c2:0.08
145 T1113TS350_3o      350     ClusPro              0.848    0.849    2        A2       C2        2        0.05     173      0        74.2     71.90      76.60       0.810      0.633      0.84           2          334        0.09     2.42       1.93       3447.8     1961.7     1486.2     0.895     c3:12.63; c2:0.03
146 T1113TS367_2o      367     MULTICOM             0.848    0.849    2        A2       C2        2        0.04     172      0        75.5     74.40      76.60       0.870      0.661      0.89           2          334        0.07     2.11       1.73       4221.2     2201.3     2019.9     0.914     c3:12.58; c2:0.03
147 T1113TS054_2o      054     UltraFold            0.848    0.849    2        A2       C2        2        0.05     175      0        78.4     76.60      80.20       0.840      0.646      0.85           2          334        0.10     2.45       1.90       4263.6     2516.1     1747.5     0.894     c3:12.65; c2:0.03
148 T1113TS125_1o      125s    UltraFold_Server     0.848    0.848    2        A2       C2        2        0.08     175      0        76.4     74.40      78.40       0.847      0.628      0.86           2          334        0.09     2.49       1.97       4100.2     2344.8     1755.4     0.890     c3:12.73; c2:0.06
149 T1113TS399_2o      399     BeijingAIProtein     0.848    0.849    2        A2       C2        2        0.05     175      0        78.4     76.60      80.20       0.840      0.646      0.85           2          334        0.10     2.45       1.90       4263.6     2516.1     1747.5     0.894     c3:12.65; c2:0.03
150 T1113TS348_3o      348     Takeda-Shitaka_Lab   0.847    0.849    2        A2       C2        2        0.16     160      0        76.7     75.60      77.80       0.845      0.657      0.90           2          334        0.08     2.20       1.79       4193.3     2279.9     1913.3     0.912     c3:12.53; c2:0.10
151 T1113TS119_4o      119     Kiharalab            0.846    0.847    2        A2       C2        2        0.04     172      0        75.7     74.90      76.60       0.860      0.692      0.89           2          334        0.06     1.80       1.53       4436.4     2455.0     1981.4     0.934     c3:12.52; c2:0.02
152 T1113TS131_5o      131s    Kiharalab_Server     0.846    0.846    2        A2       C2        2        0.06     175      0        75.7     74.10      77.20       0.830      0.642      0.84           2          334        0.09     2.35       1.90       4194.9     2469.4     1725.5     0.899     c3:12.64; c2:0.04
153 T1113TS131_2o      131s    Kiharalab_Server     0.846    0.847    2        A2       C2        2        0.04     172      0        75.7     74.90      76.60       0.860      0.692      0.89           2          334        0.06     1.80       1.53       4436.4     2455.0     1981.4     0.934     c3:12.52; c2:0.02
154 T1113TS312_1o      312     Fernandez-Recio      0.845    0.846    2        A2       C2        2        0.95     168      1        72.8     77.20      68.90       0.833      0.659      0.85           2          334        0.08     1.87       1.74       4721.5     2702.2     2019.3     0.931     c3:12.50; c2:0.67
155 T1113TS367_3o      367     MULTICOM             0.845    0.846    2        A2       C2        2        0.06     175      0        76.0     74.30      77.80       0.865      0.667      0.88           2          334        0.07     2.09       1.65       4236.4     2253.1     1983.4     0.915     c3:12.60; c2:0.04
156 T1113TS399_5o      399     BeijingAIProtein     0.844    0.845    2        A2       C2        2        0.19     172      2        78.0     77.50      78.40       0.839      0.651      0.88           2          334        0.08     2.28       1.83       4332.3     2494.9     1837.3     0.904     c3:12.58; c2:0.13
157 T1113TS054_5o      054     UltraFold            0.844    0.845    2        A2       C2        2        0.19     172      2        78.0     77.50      78.40       0.839      0.651      0.88           2          334        0.08     2.28       1.83       4332.3     2494.9     1837.3     0.904     c3:12.58; c2:0.13
158 T1113TS125_4o      125s    UltraFold_Server     0.844    0.845    2        A2       C2        2        0.08     170      0        75.2     73.30      77.20       0.827      0.642      0.86           2          334        0.09     2.40       1.91       4369.0     2603.3     1765.7     0.898     c3:12.65; c2:0.05
159 T1113TS071_3o      071s    RaptorX-Multimer     0.843    0.844    2        A2       C2        2        0.06     185      2        75.4     72.10      79.00       0.830      0.634      0.85           2          334        0.09     2.50       2.01       4202.6     2498.2     1704.4     0.889     c3:12.66; c2:0.04
160 T1113TS298_1o      298s    MUFold               0.842    0.842    2        A2       C2        2        0.05     176      0        77.1     75.70      78.40       0.887      0.674      0.89           2          334        0.07     2.10       1.70       4208.6     2430.1     1778.5     0.916     c3:12.59; c2:0.04
161 T1113TS399_1o      399     BeijingAIProtein     0.842    0.843    2        A2       C2        2        0.07     163      0        76.6     75.90      77.20       0.860      0.634      0.91           2          334        0.08     2.38       1.91       4089.8     2235.7     1854.1     0.896     c3:12.67; c2:0.05
162 T1113TS054_1o      054     UltraFold            0.842    0.843    2        A2       C2        2        0.07     163      0        76.6     75.90      77.20       0.860      0.634      0.91           2          334        0.08     2.38       1.91       4089.8     2235.7     1854.1     0.896     c3:12.67; c2:0.05
163 T1113TS091_2o      091     UNRES                0.839    0.841    2        A2       C2        2        0.60     174      0        71.4     71.00      71.90       0.756      0.619      0.85           2          334        0.10     2.36       1.81       5119.2     2736.8     2382.4     0.901     c3:12.61; c2:0.42
164 T1113TS091_4o      091     UNRES                0.839    0.840    2        A2       C2        2        0.67     162      0        70.5     70.90      70.10       0.757      0.568      0.81           2          334        0.12     2.77       1.98       4994.0     2514.8     2479.2     0.872     c3:12.50; c2:0.44
165 T1113TS003_3o      003     MULTICOM_human       0.839    0.840    2        A2       C2        2        0.17     175      0        74.3     72.60      76.00       0.878      0.665      0.86           2          334        0.07     2.09       1.67       4009.2     2180.3     1828.9     0.916     c3:12.58; c2:0.09
166 T1113TS098_5o      098s    GuijunLab-Assembly   0.838    0.839    2        A2       C2        2        0.06     177      0        76.4     74.40      78.40       0.886      0.671      0.87           2          334        0.07     2.12       1.70       4206.5     2333.5     1873.0     0.914     c3:12.59; c2:0.04
167 T1113TS125_5o      125s    UltraFold_Server     0.838    0.839    2        A2       C2        2        0.14     155      0        76.8     78.30      75.40       0.831      0.660      0.88           2          334        0.08     2.14       1.81       4402.0     2461.9     1940.1     0.915     c3:12.46; c2:0.09
168 T1113TS169_2o      169     GuijunLab-Human      0.838    0.839    2        A2       C2        2        0.06     177      0        76.4     74.40      78.40       0.886      0.671      0.87           2          334        0.07     2.12       1.70       4206.5     2333.5     1873.0     0.914     c3:12.59; c2:0.04
169 T1113TS188_5o      188s    GuijunLab-DeepDA     0.838    0.841    2        A2       C2        2        0.99     149      0        77.4     83.90      71.90       0.816      0.612      0.83           2          334        0.03     2.26       2.24       4978.9     2917.2     2061.7     0.909     c3:12.35; c2:0.63
170 T1113TS188_1o      188s    GuijunLab-DeepDA     0.838    0.839    2        A2       C2        2        0.06     177      0        76.4     74.40      78.40       0.886      0.671      0.87           2          334        0.07     2.12       1.70       4206.5     2333.5     1873.0     0.914     c3:12.59; c2:0.04
171 T1113TS493_1o      493     Shen-CAPRI           0.838    0.838    2        A2       C2        2        3.01     159      0        72.6     72.20      73.10       0.813      0.689      0.82           2          334        0.04     1.92       1.88       4948.8     2651.8     2297.1     0.933     c3:12.06; c2:2.13
172 T1113TS098_1o      098s    GuijunLab-Assembly   0.838    0.839    2        A2       C2        2        0.06     177      0        76.4     74.40      78.40       0.886      0.671      0.87           2          334        0.07     2.12       1.70       4206.5     2333.5     1873.0     0.914     c3:12.59; c2:0.04
173 T1113TS169_4o      169     GuijunLab-Human      0.838    0.841    2        A2       C2        2        0.99     149      0        77.4     83.90      71.90       0.816      0.612      0.83           2          334        0.03     2.26       2.24       4978.9     2917.2     2061.7     0.909     c3:12.35; c2:0.63
174 T1113TS098_4o      098s    GuijunLab-Assembly   0.838    0.841    2        A2       C2        2        0.99     149      0        77.4     83.90      71.90       0.816      0.612      0.83           2          334        0.03     2.26       2.24       4978.9     2917.2     2061.7     0.909     c3:12.35; c2:0.63
175 T1113TS169_3o      169     GuijunLab-Human      0.838    0.839    2        A2       C2        2        0.06     177      0        76.4     74.40      78.40       0.886      0.671      0.87           2          334        0.07     2.12       1.70       4206.5     2333.5     1873.0     0.914     c3:12.59; c2:0.04
176 T1113TS444_5o      444     CoDock               0.837    0.841    2        A2       C2        2        0.22     157      0        75.1     77.20      73.10       0.850      0.611      0.88           2          334        0.08     2.48       2.01       4516.9     2717.5     1799.4     0.888     c3:24.70; c2:0.15
177 T1113TS494_2o      494     Venclovas            0.837    0.838    2        A2       C2        2        0.10     177      0        75.7     74.90      76.60       0.824      0.619      0.89           2          334        0.10     2.50       1.92       5023.5     2864.2     2159.3     0.890     c3:12.76; c2:0.07
178 T1113TS158_5o      158s    MULTICOM_deep        0.836    0.837    2        A2       C2        2        0.04     178      0        75.2     73.30      77.20       0.883      0.667      0.86           2          334        0.07     2.12       1.70       4034.7     2199.5     1835.2     0.914     c3:12.58; c2:0.03
179 T1113TS423_4o      423     trComplex            0.836    0.846    2        A2       C2        2        0.35     186      2        72.9     69.60      76.60       0.822      0.596      0.83           2          334        0.09     2.71       2.12       3151.8     1806.2     1345.7     0.870     c3:12.21; c2:0.24
180 T1113TS187_4o      187     TRFold               0.836    0.846    2        A2       C2        2        0.35     186      2        72.9     69.60      76.60       0.822      0.596      0.83           2          334        0.09     2.71       2.12       3151.8     1806.2     1345.7     0.870     c3:12.21; c2:0.24
181 T1113TS086_5o      086s    MULTICOM_qa          0.835    0.836    2        A2       C2        2        0.02     192      0        76.8     73.60      80.20       0.877      0.677      0.85           2          334        0.07     2.11       1.66       3761.6     1909.5     1852.2     0.914     c3:12.66; c2:0.02
182 T1113TS091_1o      091     UNRES                0.835    0.835    2        A2       C2        2        0.75     169      1        72.6     72.20      73.10       0.755      0.603      0.86           2          334        0.10     2.57       1.97       5080.7     2611.5     2469.2     0.886     c3:12.66; c2:0.53
183 T1113TS131_3o      131s    Kiharalab_Server     0.833    0.834    2        A2       C2        2        0.15     183      0        75.8     71.40      80.80       0.809      0.621      0.85           2          334        0.09     2.66       2.17       4118.6     2471.1     1647.4     0.876     c3:12.73; c2:0.10
184 T1113TS239_3o      239s    Yang-Multimer        0.831    0.832    2        A2       C2        2        0.06     192      0        75.1     72.00      78.40       0.875      0.629      0.83           2          334        0.10     2.57       1.83       3998.5     2049.2     1949.3     0.886     c3:12.77; c2:0.04
185 T1113TS091_3o      091     UNRES                0.830    0.830    2        A2       C2        2        0.69     166      0        73.1     73.80      72.50       0.759      0.589      0.86           2          334        0.12     2.62       1.91       5327.0     2673.8     2653.2     0.884     c3:12.41; c2:0.44
186 T1113TS003_1o      003     MULTICOM_human       0.828    0.829    2        A2       C2        2        0.03     173      0        75.2     73.30      77.20       0.879      0.675      0.86           2          334        0.07     2.05       1.71       4054.5     2210.4     1844.1     0.919     c3:12.56; c2:0.02
187 T1113TS493_3o      493     Shen-CAPRI           0.827    0.827    2        A2       C2        2        2.90     162      0        73.4     73.20      73.70       0.776      0.619      0.83           2          334        0.03     2.58       2.24       4952.0     2719.1     2232.9     0.883     c3:12.51; c2:2.05
188 T1113TS493_4o      493     Shen-CAPRI           0.826    0.830    2        A2       C2        2        3.89     126      0        68.2     76.30      61.70       0.786      0.546      0.76           2          334        0.03     2.91       2.80       5294.9     2819.0     2475.9     0.868     c3:12.56; c2:2.73
189 T1113TS312_3o      312     Fernandez-Recio      0.826    0.826    2        A2       C2        2        0.45     157      0        69.9     71.70      68.30       0.800      0.560      0.80           2          334        0.05     2.67       2.27       4531.0     2532.4     1998.6     0.870     c3:12.70; c2:0.25
190 T1113TS312_4o      312     Fernandez-Recio      0.824    0.825    2        A2       C2        2        0.66     160      0        69.2     72.10      66.50       0.797      0.549      0.81           2          334        0.05     2.74       2.27       4632.1     2566.6     2065.5     0.864     c3:12.69; c2:0.41
191 T1113TS312_2o      312     Fernandez-Recio      0.822    0.823    2        A2       C2        2        1.00     151      0        71.8     78.20      66.50       0.807      0.597      0.87           2          334        0.11     2.36       1.95       4980.3     2688.0     2292.3     0.897     c3:12.03; c2:0.52
192 T1113TS119_1o      119     Kiharalab            0.822    0.823    2        A2       C2        2        0.06     183      2        75.9     73.60      78.40       0.878      0.667      0.86           2          334        0.07     2.10       1.73       4022.8     2257.3     1765.5     0.915     c3:12.57; c2:0.04
193 T1113TS131_1o      131s    Kiharalab_Server     0.822    0.823    2        A2       C2        2        0.06     183      2        75.9     73.60      78.40       0.878      0.667      0.86           2          334        0.07     2.10       1.73       4022.8     2257.3     1765.5     0.915     c3:12.57; c2:0.04
194 T1113TS169_5o      169     GuijunLab-Human      0.820    0.824    2        A2       C2        2        0.97     141      2        71.3     80.50      64.10       0.799      0.605      0.80           2          334        0.02     2.07       2.26       5301.3     3020.2     2281.2     0.926     c3:12.30; c2:0.64
195 T1113TS312_5o      312     Fernandez-Recio      0.820    0.822    2        A2       C2        2        1.12     154      0        68.7     79.50      60.50       0.805      0.595      0.84           2          334        0.11     2.29       1.99       5058.5     2706.6     2351.9     0.903     c3:12.02; c2:0.64
196 T1113TS188_2o      188s    GuijunLab-DeepDA     0.820    0.824    2        A2       C2        2        0.97     141      2        71.3     80.50      64.10       0.799      0.605      0.80           2          334        0.02     2.07       2.26       5301.3     3020.2     2281.2     0.926     c3:12.30; c2:0.64
197 T1113TS188_3o      188s    GuijunLab-DeepDA     0.820    0.825    2        A2       C2        2        0.95     144      1        72.0     77.80      67.10       0.801      0.613      0.80           2          334        0.02     2.22       2.29       5104.0     2857.8     2246.1     0.914     c3:12.40; c2:0.62
198 T1113TS188_4o      188s    GuijunLab-DeepDA     0.819    0.822    2        A2       C2        2        0.92     141      2        69.8     80.50      61.70       0.798      0.605      0.78           2          334        0.01     1.99       2.24       5287.9     2919.3     2368.6     0.933     c3:12.27; c2:0.61
199 T1113TS037_4o      037     Wallner              0.816    0.818    2        A2       C2        2        1.10     183      1        74.9     70.20      80.20       0.765      0.366      0.84           1          167        0.00     5.45       4.71       3910.4     2306.9     1603.5     0.605     c3:14.52; c2:0.71
200 T1113TS248_5o      248     Manifold             0.815    0.818    2        A2       C2        2        3.00     173      0        71.2     76.60      66.50       0.597      0.343      0.80           1          167        0.00     5.02       4.38       5153.5     2728.3     2425.2     0.619     c3:12.34; c2:1.95
201 T1113TS035_5o      035s    Manifold-E           0.815    0.818    2        A2       C2        2        3.00     173      0        71.2     76.60      66.50       0.597      0.343      0.80           1          167        0.00     5.02       4.38       5153.5     2728.3     2425.2     0.619     c3:12.34; c2:1.95
202 T1113TS037_3o      037     Wallner              0.810    0.815    2        A2       C2        2        0.49     173      0        70.9     68.30      73.70       0.713      0.333      0.79           1          167        0.00     5.62       5.49       4351.1     2493.3     1857.8     0.548     c3:13.07; c2:0.34
203 T1113TS493_2o      493     Shen-CAPRI           0.809    0.809    2        A2       C2        2        6.52     128      0        68.5     82.40      58.70       0.768      0.477      0.80           2          334        0.05     3.91       3.34       6227.7     2832.6     3395.1     0.789     c3:11.73; c2:4.39
204 T1113TS278_5o      278     PEZYFoldings         0.779    0.779    2        A2       C2        2        3.97     139      0        73.7     81.80      67.10       0.855      0.507      0.78           2          334        0.02     3.53       5.37       4959.9     2562.2     2397.7     0.951     c3:11.72; c2:2.24
205 T1113TS185_4o      185     BAKER                0.771    0.772    2        A2       C2        2        0.01     162      0        68.3     68.90      67.70       0.837      0.504      0.85           2          334        0.08     3.47       2.97       4657.2     2661.7     1995.5     0.825     c3:12.74; c2:0.01
206 T1113TS037_5o      037     Wallner              0.687    0.699    2        A2       C1        2        0.00     162      0        67.7     68.30      67.10       0.813      0.403      0.77           2          334        0.08     5.86       8.90       3986.3     2329.2     1657.1     0.892     c3:11.75; c2:4.13
207 T1113TS477_1o      477     DMP                  0.679    0.956    2        A2       C2        2        0.38     117      0        71.0     89.90      58.70       0.833      0.604      0.66           2          316        0.05     1.97       1.37       4290.4     2785.8     1504.6     0.876     c3:11.32; c2:0.24
208 T1113TS385_1o      385     FoldEver-Hybrid      0.631    0.639    2        A2       C2        2        0.09     170      5        48.9     50.00      47.90       0.716      0.436      0.71           2          334        0.12     3.27       3.89       5197.0     2673.0     2524.0     0.875     c3:12.33; c2:0.05
209 T1113TS248_4o      248     Manifold             0.408    0.408    2        A2       C2        2        0.46     100      1        50.4     66.00      40.70       0.646      0.178      0.44           1          69         0.00     9.33       25.65      7480.8     3412.6     4068.3     0.627     c3:10.31; c2:0.32
210 T1113TS035_4o      035s    Manifold-E           0.408    0.408    2        A2       C2        2        0.46     100      1        50.4     66.00      40.70       0.646      0.178      0.44           1          69         0.00     9.33       25.65      7480.8     3412.6     4068.3     0.627     c3:10.31; c2:0.32
211 T1113TS493_5o      493     Shen-CAPRI           0.380    0.380    2        A2       C2        2        2.26     131      0        46.0     54.00      40.10       0.582      0.185      0.44           1          69         0.00     9.37       25.47      5227.0     2570.2     2656.9     0.604     c3:10.02; c2:1.58
212 T1113TS494_3o      494     Venclovas            0.129    0.129    2        A2       C2        2        1.05     62       0        3.7      8.20       2.40        0.614      0.034      0.23           1          69         0.00     9.76       27.08      5354.3     3114.6     2239.7     0.475     c3:9.75; c2:0.65
213 T1113TS494_4o      494     Venclovas            0.101    0.101    2        A2       C2        2        0.07     59       0        3.6      7.00       2.40        0.603      0.019      0.25           1          65         0.00     9.83       24.50      6955.1     3482.3     3472.8     0.377     c3:12.14; c2:0.05
214 T1113TS165_5o      165     FTBiot0119           0.087    0.087    2        A2       C1        2        0.00     108      3        3.8      5.20       3.00        0.637      0.021      0.37           1          167        0.00     4.50       21.33      6079.1     2263.3     3815.8     0.456     c3:11.71; c2:16.75
215 T1113TS035_2o      035s    Manifold-E           0.073    0.073    2        A2       C2        2        2.64     92       0        2.4      3.80       1.80        0.700      0.019      0.44           1          167        0.00     2.05       18.83      7183.6     3509.4     3506.8     0.513     c3:11.66; c2:1.47
216 T1113TS165_2o      165     FTBiot0119           0.073    0.073    2        A2       C2        2        1.12     131      2        2.1      2.50       1.80        0.638      0.048      0.30           1          167        0.00     3.71       13.08      5075.9     2265.0     2810.8     0.506     c3:13.31; c2:0.63
217 T1113TS165_4o      165     FTBiot0119           0.060    0.061    2        A2       C2        2        0.70     99       0        0.0      0.00       0.00        0.676      0.047      0.35           1          167        0.00     4.99       13.18      5779.0     2466.6     3312.3     0.494     c3:14.01; c2:0.39
218 T1113TS398_2o      398     ChaePred             0.054    0.055    2        A2       C2        2        6.22     55       2        2.6      4.80       1.80        0.643      0.018      0.23           1          49         0.00     9.82       25.46      4772.7     2448.4     2324.4     0.452     c3:7.79; c2:3.75
219 T1113TS098_2o      098s    GuijunLab-Assembly   0.040    0.040    2        A2       C1        2        0.00     281      20       1.3      1.10       1.80        0.501      0.019      0.32           1          69         0.00     9.87       20.62      6079.6     2606.2     3473.5     0.449     c3:7.69; c2:6.67
220 T1113TS398_5o      398     ChaePred             0.032    0.034    2        A2       C2        2        4.08     109      4        2.2      2.70       1.80        0.637      0.017      0.26           1          49         0.00     9.82       25.28      3331.4     1904.7     1426.7     0.446     c3:8.83; c2:2.83
221 T1113TS398_1o      398     ChaePred             0.029    0.030    2        A2       C1        2        0.00     120      3        2.1      2.40       1.80        0.611      0.026      0.15           1          49         0.00     9.82       24.79      3728.7     1832.4     1896.2     0.441     c3:8.29; c2:13.46
222 T1113TS398_3o      398     ChaePred             0.027    0.031    2        A2       C1        2        0.00     64       1        0.8      1.30       0.60        0.635      0.014      0.26           1          49         0.00     9.82       25.01      4668.4     2273.7     2394.7     0.442     c3:8.10; c2:4.95
223 T1113TS398_4o      398     ChaePred             0.026    0.028    2        A2       C1        2        0.00     59       1        0.9      1.50       0.60        0.642      0.014      0.25           1          49         0.00     9.82       25.05      4796.2     2306.4     2489.7     0.441     c3:7.67; c2:5.19
224 T1113TS165_1o      165     FTBiot0119           0.009    0.009    2        A2       C2        2        0.96     175      2        0.0      0.00       0.00        0.623      0.015      0.19           1          167        0.00     6.74       21.90      4898.9     2108.1     2790.8     0.427     c3:13.08; c2:0.51
