    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1132TS180_1o      180     McGuffin             0.954    0.972    6        A6       D3        6        0.05     321      0        87.5     92.30      83.44       0.928      0.911      0.86           6          582        0.02     0.45       0.30       2165.2     1793.2     1521.9     0.997     d3:0.04; c6:26.92; c3:0.04; c3:26.31; c2:0.04; c2:0.04; c2:0.02
87  T1132TS461_5o      461     colabfold_human      0.929    0.949    6        A6       D3        6        0.06     305      0        84.2     88.40      81.29       0.909      0.838      0.84           6          582        0.05     0.93       0.33       2737.9     2499.7     1388.1     0.987     d3:0.05; c6:26.79; c3:0.04; c3:26.30; c2:0.05; c2:0.03; c2:0.04
88  T1132TS298_5o      298s    MUFold               0.929    0.948    6        A6       D3        6        0.04     313      0        84.3     89.18      80.76       0.912      0.829      0.90           6          582        0.05     1.03       0.30       2464.7     2451.1     1163.6     0.985     d3:0.04; c6:26.87; c3:0.04; c3:26.38; c2:0.03; c2:0.03; c2:0.03
89  T1132TS298_3o      298s    MUFold               0.929    0.948    6        A6       D3        6        0.07     311      0        84.7     89.07      81.53       0.907      0.838      0.86           6          582        0.06     1.03       0.36       3012.7     2488.2     1674.3     0.985     d3:0.06; c6:26.98; c3:0.05; c3:26.47; c2:0.06; c2:0.04; c2:0.05
90  T1132TS205_3o      205     Zou                  0.929    0.949    6        A6       D3        6        0.06     315      0        86.3     89.79      83.70       0.911      0.848      0.90           6          582        0.05     0.98       0.31       2760.0     2225.6     1684.2     0.986     d3:0.06; c6:26.94; c3:0.05; c3:26.43; c2:0.04; c2:0.05; c2:0.03
91  T1132TS150_3o      150     Grudinin             0.929    0.948    6        A6       D3        6        0.00     309      0        86.9     90.47      84.51       0.914      0.837      0.90           6          582        0.06     1.08       0.27       2116.1     1906.7     1359.3     0.983     d3:0.00; c6:26.83; c3:0.00; c3:26.34; c2:0.00; c2:0.00; c2:0.00
92  T1132TS320_5o      320     Elofsson             0.928    0.947    6        A6       D3        6        0.05     306      0        85.1     90.17      81.84       0.911      0.818      0.87           6          582        0.06     1.11       0.26       2607.0     2096.9     1660.0     0.983     d3:0.04; c6:26.85; c3:0.04; c3:26.36; c2:0.03; c2:0.04; c2:0.02
93  T1132TS298_4o      298s    MUFold               0.928    0.947    6        A6       D3        6        0.07     308      0        85.5     89.28      82.89       0.909      0.831      0.89           6          582        0.06     1.08       0.36       3068.7     2513.9     1704.6     0.983     d3:0.06; c6:26.95; c3:0.06; c3:26.45; c2:0.05; c2:0.05; c2:0.05
94  T1132TS374_2o      374     Zheng                0.928    0.946    6        A6       D3        6        0.07     309      0        84.2     88.79      81.02       0.906      0.822      0.87           6          582        0.07     1.11       0.38       2892.0     2450.0     1591.9     0.982     d3:0.06; c6:26.83; c3:0.06; c3:26.34; c2:0.04; c2:0.04; c2:0.05
95  T1132TS320_3o      320     Elofsson             0.928    0.947    6        A6       D3        6        0.05     307      0        86.0     89.59      83.72       0.913      0.832      0.88           6          582        0.06     1.09       0.27       2345.5     2102.1     1393.3     0.983     d3:0.05; c6:26.84; c3:0.05; c3:26.35; c2:0.04; c2:0.04; c2:0.03
96  T1132TS360_1o      360     MUFold_H             0.928    0.947    6        A6       D3        6        0.05     306      0        85.1     90.17      81.84       0.911      0.818      0.87           6          582        0.06     1.11       0.26       2607.0     2096.9     1660.0     0.983     d3:0.04; c6:26.85; c3:0.04; c3:26.36; c2:0.03; c2:0.04; c2:0.02
97  T1132TS360_2o      360     MUFold_H             0.928    0.947    6        A6       D3        6        0.05     307      0        86.0     89.59      83.72       0.913      0.832      0.88           6          582        0.06     1.09       0.27       2345.5     2102.1     1393.3     0.983     d3:0.05; c6:26.84; c3:0.05; c3:26.35; c2:0.04; c2:0.04; c2:0.03
98  T1132TS390_5o      390s    NBIS-AF2-multimer    0.928    0.947    6        A6       D3        6        0.05     306      0        85.1     90.17      81.84       0.911      0.818      0.87           6          582        0.06     1.11       0.26       2607.0     2096.9     1660.0     0.983     d3:0.04; c6:26.85; c3:0.04; c3:26.36; c2:0.03; c2:0.04; c2:0.02
99  T1132TS150_5o      150     Grudinin             0.928    0.947    6        A6       D3        6        0.00     303      0        86.3     91.37      82.64       0.912      0.824      0.89           6          582        0.06     1.11       0.26       2609.0     2049.2     1709.7     0.983     d3:0.00; c6:26.84; c3:0.00; c3:26.35; c2:0.00; c2:0.00; c2:0.00
100 T1132TS390_3o      390s    NBIS-AF2-multimer    0.928    0.947    6        A6       D3        6        0.05     307      0        86.0     89.59      83.72       0.913      0.832      0.88           6          582        0.06     1.09       0.27       2345.5     2102.1     1393.3     0.983     d3:0.05; c6:26.84; c3:0.05; c3:26.35; c2:0.04; c2:0.04; c2:0.03
101 T1132TS314_5o      314     Pierce               0.928    0.947    6        A6       D3        6        0.05     306      0        85.1     90.17      81.84       0.911      0.818      0.87           6          582        0.06     1.11       0.26       2607.0     2096.9     1660.0     0.983     d3:0.04; c6:26.85; c3:0.04; c3:26.36; c2:0.03; c2:0.04; c2:0.02
102 T1132TS446_4o      446s    ColabFold            0.927    0.946    6        A6       D3        6        0.03     309      0        80.6     84.51      77.81       0.914      0.808      0.84           6          582        0.06     0.97       0.30       2336.7     2144.4     1342.2     0.987     d3:0.03; c6:26.77; c3:0.02; c3:26.28; c2:0.02; c2:0.02; c2:0.02
103 T1132TS086_5o      086s    MULTICOM_qa          0.927    0.946    6        A6       D3        6        0.03     321      0        81.7     85.94      78.86       0.896      0.810      0.83           6          582        0.06     1.09       0.48       2347.5     1839.9     1657.5     0.982     d3:0.03; c6:26.87; c3:0.03; c3:26.37; c2:0.02; c2:0.02; c2:0.02
104 T1132TS461_4o      461     colabfold_human      0.927    0.946    6        A6       D3        6        0.03     309      0        80.6     84.51      77.81       0.914      0.808      0.84           6          582        0.06     0.97       0.30       2336.7     2144.4     1342.2     0.987     d3:0.03; c6:26.77; c3:0.02; c3:26.28; c2:0.02; c2:0.02; c2:0.02
105 T1132TS147_3o      147     SHT                  0.927    0.946    6        A6       D3        6        0.06     286      0        85.8     90.68      82.09       0.907      0.826      0.88           6          582        0.06     1.08       0.30       2063.1     2202.0     1011.0     0.983     d3:0.06; c6:26.88; c3:0.06; c3:26.39; c2:0.05; c2:0.05; c2:0.03
106 T1132TS423_3o      423     trComplex            0.926    0.945    6        A6       D3        6        0.05     309      0        83.0     88.96      78.86       0.905      0.811      0.84           6          582        0.06     1.14       0.33       2543.6     1731.8     1961.7     0.982     d3:0.04; c6:26.86; c3:0.04; c3:26.39; c2:0.03; c2:0.03; c2:0.03
107 T1132TS187_3o      187     TRFold               0.926    0.945    6        A6       D3        6        0.05     309      0        83.0     88.96      78.86       0.905      0.811      0.84           6          582        0.06     1.14       0.33       2543.6     1731.8     1961.7     0.982     d3:0.04; c6:26.86; c3:0.04; c3:26.39; c2:0.03; c2:0.03; c2:0.03
108 T1132TS350_3o      350     ClusPro              0.926    0.946    6        A6       D3        6        0.04     303      0        81.4     86.72      77.79       0.890      0.811      0.87           6          582        0.06     1.09       0.31       1336.8     1084.6     1402.1     0.983     d3:0.03; c6:26.90; c3:0.03; c3:26.43; c2:0.03; c2:0.03; c2:0.02
109 T1132TS350_5o      350     ClusPro              0.926    0.946    6        A6       D3        6        0.07     313      0        82.2     89.16      77.02       0.886      0.805      0.88           6          582        0.06     1.11       0.40       1695.8     1444.1     1401.6     0.982     d3:0.06; c6:26.92; c3:0.06; c3:26.44; c2:0.05; c2:0.04; c2:0.05
110 T1132TS054_3o      054     UltraFold            0.926    0.945    6        A6       D3        6        0.06     307      0        84.0     90.63      79.70       0.906      0.797      0.88           6          582        0.07     1.18       0.28       2854.9     2493.4     1511.4     0.981     d3:0.05; c6:26.81; c3:0.05; c3:26.34; c2:0.04; c2:0.03; c2:0.03
111 T1132TS399_3o      399     BeijingAIProtein     0.926    0.945    6        A6       D3        6        0.06     307      0        84.0     90.63      79.70       0.906      0.797      0.88           6          582        0.07     1.18       0.28       2854.9     2493.4     1511.4     0.981     d3:0.05; c6:26.81; c3:0.05; c3:26.34; c2:0.04; c2:0.03; c2:0.03
112 T1132TS125_3o      125s    UltraFold_Server     0.926    0.945    6        A6       D3        6        0.06     307      0        84.0     90.63      79.70       0.906      0.797      0.88           6          582        0.07     1.18       0.28       2854.9     2493.4     1511.4     0.981     d3:0.05; c6:26.81; c3:0.05; c3:26.34; c2:0.04; c2:0.03; c2:0.03
113 T1132TS348_2o      348     Takeda-Shitaka_Lab   0.926    0.946    6        A6       D3        6        0.06     313      0        84.7     88.63      81.81       0.910      0.833      0.89           6          582        0.06     1.07       0.32       2674.7     2019.6     1805.0     0.984     d3:0.05; c6:26.93; c3:0.05; c3:26.45; c2:0.05; c2:0.03; c2:0.04
114 T1132TS188_4o      188s    GuijunLab-DeepDA     0.925    0.944    6        A6       D3        6        0.05     310      0        82.0     87.61      78.89       0.900      0.802      0.85           6          582        0.06     1.06       0.35       3261.6     2831.2     1580.3     0.984     d3:0.05; c6:26.92; c3:0.05; c3:26.42; c2:0.04; c2:0.03; c2:0.04
115 T1132TS320_2o      320     Elofsson             0.925    0.944    6        A6       D3        6        0.07     316      0        82.9     87.87      79.40       0.900      0.812      0.85           6          582        0.06     1.14       0.40       3052.5     2327.7     1874.6     0.981     d3:0.06; c6:26.93; c3:0.05; c3:26.44; c2:0.05; c2:0.04; c2:0.05
116 T1132TS119_4o      119     Kiharalab            0.925    0.944    6        A6       D3        6        0.07     316      0        82.9     87.87      79.40       0.900      0.812      0.85           6          582        0.06     1.14       0.40       3052.5     2327.7     1874.6     0.981     d3:0.06; c6:26.93; c3:0.05; c3:26.44; c2:0.05; c2:0.04; c2:0.05
117 T1132TS348_3o      348     Takeda-Shitaka_Lab   0.925    0.944    6        A6       D3        6        0.07     316      0        82.9     87.87      79.40       0.900      0.812      0.85           6          582        0.06     1.14       0.40       3001.1     2129.9     2021.0     0.981     d3:0.06; c6:26.93; c3:0.05; c3:26.44; c2:0.05; c2:0.04; c2:0.05
118 T1132TS314_3o      314     Pierce               0.925    0.944    6        A6       D3        6        0.07     316      0        82.9     87.87      79.40       0.900      0.812      0.85           6          582        0.06     1.14       0.40       3052.5     2327.7     1874.6     0.981     d3:0.06; c6:26.93; c3:0.05; c3:26.44; c2:0.05; c2:0.04; c2:0.05
119 T1132TS188_2o      188s    GuijunLab-DeepDA     0.925    0.943    6        A6       D3        6        0.06     299      0        83.6     88.62      80.51       0.910      0.806      0.89           6          582        0.06     1.12       0.29       2742.9     2660.8     1232.0     0.982     d3:0.06; c6:26.85; c3:0.05; c3:26.37; c2:0.04; c2:0.05; c2:0.05
120 T1132TS360_5o      360     MUFold_H             0.925    0.944    6        A6       D3        6        0.04     298      0        82.9     87.47      79.95       0.910      0.805      0.87           6          582        0.06     1.13       0.27       2523.5     2575.0     1098.5     0.982     d3:0.03; c6:26.85; c3:0.03; c3:26.37; c2:0.02; c2:0.02; c2:0.03
121 T1132TS150_2o      150     Grudinin             0.925    0.944    6        A6       D3        6        0.00     315      0        81.7     87.30      78.05       0.900      0.804      0.83           6          582        0.06     1.14       0.41       2954.2     2231.8     1872.3     0.981     d3:0.00; c6:26.92; c3:0.00; c3:26.43; c2:0.00; c2:0.00; c2:0.00
122 T1132TS360_4o      360     MUFold_H             0.925    0.944    6        A6       D3        6        0.05     299      0        84.4     89.06      81.57       0.908      0.808      0.87           6          582        0.07     1.17       0.28       2479.7     2289.2     1340.3     0.981     d3:0.04; c6:26.83; c3:0.04; c3:26.36; c2:0.04; c2:0.03; c2:0.02
123 T1132TS350_4o      350     ClusPro              0.925    0.945    6        A6       D3        6        0.07     313      0        81.0     83.01      79.39       0.886      0.811      0.88           6          582        0.06     1.15       0.33       1165.8     918.9      1396.8     0.981     d3:0.06; c6:26.91; c3:0.06; c3:26.45; c2:0.05; c2:0.03; c2:0.05
124 T1132TS390_2o      390s    NBIS-AF2-multimer    0.925    0.944    6        A6       D3        6        0.07     316      0        82.9     87.87      79.40       0.900      0.812      0.85           6          582        0.06     1.14       0.40       3052.5     2327.7     1874.6     0.981     d3:0.06; c6:26.93; c3:0.05; c3:26.44; c2:0.05; c2:0.04; c2:0.05
125 T1132TS360_3o      360     MUFold_H             0.924    0.943    6        A6       D3        6        0.04     299      0        83.4     87.99      81.04       0.909      0.805      0.87           6          582        0.07     1.17       0.27       2537.1     2424.1     1262.9     0.981     d3:0.03; c6:26.83; c3:0.03; c3:26.35; c2:0.03; c2:0.02; c2:0.03
126 T1132TS150_1o      150     Grudinin             0.924    0.943    6        A6       D3        6        0.00     315      0        81.7     87.30      78.05       0.898      0.796      0.83           6          582        0.07     1.21       0.44       2843.2     1967.5     2025.6     0.979     d3:0.00; c6:26.83; c3:0.00; c3:26.36; c2:0.00; c2:0.00; c2:0.00
127 T1132TS314_2o      314     Pierce               0.924    0.943    6        A6       D3        6        0.04     299      0        83.4     87.99      81.04       0.909      0.805      0.87           6          582        0.07     1.17       0.27       2537.1     2424.1     1262.9     0.981     d3:0.03; c6:26.83; c3:0.03; c3:26.35; c2:0.03; c2:0.02; c2:0.03
128 T1132TS098_3o      098s    GuijunLab-Assembly   0.924    0.942    6        A6       D3        6        0.08     303      0        82.1     88.24      78.36       0.902      0.795      0.85           6          582        0.07     1.19       0.36       3304.7     2884.5     1570.1     0.980     d3:0.07; c6:26.93; c3:0.07; c3:26.46; c2:0.06; c2:0.05; c2:0.04
129 T1132TS350_2o      350     ClusPro              0.924    0.944    6        A6       D3        6        0.05     301      0        78.9     82.20      76.45       0.887      0.789      0.85           6          582        0.07     1.19       0.28       1414.0     1391.6     1172.4     0.980     d3:0.05; c6:26.82; c3:0.04; c3:26.36; c2:0.04; c2:0.04; c2:0.03
130 T1132TS119_2o      119     Kiharalab            0.923    0.942    6        A6       D3        6        0.06     317      0        82.6     88.22      78.87       0.897      0.799      0.85           6          582        0.07     1.22       0.44       3012.7     2176.9     1985.7     0.979     d3:0.05; c6:26.84; c3:0.05; c3:26.37; c2:0.04; c2:0.04; c2:0.04
131 T1132TS169_4o      169     GuijunLab-Human      0.923    0.942    6        A6       D3        6        0.04     316      0        80.4     89.22      75.41       0.885      0.781      0.83           6          582        0.05     1.07       0.38       3787.1     2862.9     2074.1     0.984     d3:0.04; c6:26.99; c3:0.03; c3:26.47; c2:0.03; c2:0.03; c2:0.03
132 T1132TS374_4o      374     Zheng                0.923    0.942    6        A6       D3        6        0.04     304      0        84.2     88.27      81.57       0.900      0.811      0.89           6          582        0.07     1.18       0.39       2671.5     2450.8     1370.5     0.980     d3:0.03; c6:26.68; c3:0.03; c3:26.25; c2:0.03; c2:0.02; c2:0.03
133 T1132TS150_4o      150     Grudinin             0.923    0.942    6        A6       D3        6        0.00     303      0        83.6     87.52      81.02       0.906      0.809      0.86           6          582        0.07     1.23       0.32       2888.0     2257.9     1780.1     0.979     d3:0.00; c6:26.88; c3:0.00; c3:26.43; c2:0.00; c2:0.00; c2:0.00
134 T1132TS320_1o      320     Elofsson             0.923    0.942    6        A6       D3        6        0.06     317      0        82.6     88.22      78.87       0.897      0.799      0.85           6          582        0.07     1.22       0.44       3012.7     2176.9     1985.7     0.979     d3:0.05; c6:26.84; c3:0.05; c3:26.37; c2:0.04; c2:0.04; c2:0.04
135 T1132TS348_1o      348     Takeda-Shitaka_Lab   0.923    0.942    6        A6       D3        6        0.06     317      0        82.6     88.22      78.87       0.897      0.799      0.85           6          582        0.07     1.22       0.44       2956.0     1967.7     2138.2     0.979     d3:0.05; c6:26.84; c3:0.05; c3:26.37; c2:0.04; c2:0.04; c2:0.04
136 T1132TS390_1o      390s    NBIS-AF2-multimer    0.923    0.942    6        A6       D3        6        0.06     317      0        82.6     88.22      78.87       0.897      0.799      0.85           6          582        0.07     1.22       0.44       3012.7     2176.9     1985.7     0.979     d3:0.05; c6:26.84; c3:0.05; c3:26.37; c2:0.04; c2:0.04; c2:0.04
137 T1132TS320_4o      320     Elofsson             0.922    0.942    6        A6       D3        6        0.09     302      0        83.0     88.18      79.96       0.905      0.800      0.85           6          582        0.07     1.24       0.32       3090.6     2512.6     1727.8     0.979     d3:0.09; c6:26.90; c3:0.08; c3:26.44; c2:0.08; c2:0.05; c2:0.06
138 T1132TS390_4o      390s    NBIS-AF2-multimer    0.922    0.942    6        A6       D3        6        0.09     302      0        83.0     88.18      79.96       0.905      0.800      0.85           6          582        0.07     1.24       0.32       3090.6     2512.6     1727.8     0.979     d3:0.09; c6:26.90; c3:0.08; c3:26.44; c2:0.08; c2:0.05; c2:0.06
139 T1132TS348_4o      348     Takeda-Shitaka_Lab   0.922    0.942    6        A6       D3        6        0.09     302      0        83.0     88.18      79.96       0.905      0.800      0.85           6          582        0.07     1.24       0.32       3043.2     2319.7     1873.3     0.979     d3:0.09; c6:26.90; c3:0.08; c3:26.44; c2:0.08; c2:0.05; c2:0.06
140 T1132TS314_4o      314     Pierce               0.922    0.942    6        A6       D3        6        0.09     302      0        83.0     88.18      79.96       0.905      0.800      0.85           6          582        0.07     1.24       0.32       3090.6     2512.6     1727.8     0.979     d3:0.09; c6:26.90; c3:0.08; c3:26.44; c2:0.08; c2:0.05; c2:0.06
141 T1132TS205_4o      205     Zou                  0.921    0.935    6        A6       D3        6        2.39     346      0        84.9     83.13      87.44       0.771      0.821      0.85           6          582        0.01     1.63       0.50       3737.4     2748.8     2138.4     0.966     d3:2.19; c6:27.09; c3:2.05; c3:26.54; c2:1.43; c2:1.66; c2:1.81
142 T1132TS147_4o      147     SHT                  0.921    0.942    6        A6       D3        6        0.07     291      0        84.0     86.61      82.07       0.862      0.827      0.86           6          582        0.06     1.14       0.44       1680.1     1380.4     1449.6     0.981     d3:0.06; c6:26.96; c3:0.05; c3:26.47; c2:0.05; c2:0.05; c2:0.05
143 T1132TS239_5o      239s    Yang-Multimer        0.921    0.939    6        A6       D3        6        0.04     309      0        78.1     86.12      73.55       0.863      0.763      0.80           6          582        0.05     1.15       0.43       3792.6     2613.1     2329.4     0.981     d3:0.04; c6:26.94; c3:0.04; c3:26.42; c2:0.03; c2:0.03; c2:0.02
144 T1132TS169_1o      169     GuijunLab-Human      0.921    0.939    6        A6       D3        6        0.09     308      0        79.5     86.07      75.68       0.876      0.772      0.82           6          582        0.06     1.20       0.43       4059.8     2930.6     2279.1     0.979     d3:0.09; c6:26.99; c3:0.08; c3:26.47; c2:0.07; c2:0.05; c2:0.07
145 T1132TS169_2o      169     GuijunLab-Human      0.921    0.939    6        A6       D3        6        0.09     308      0        79.5     86.07      75.68       0.876      0.772      0.82           6          582        0.06     1.20       0.43       4059.8     2930.6     2279.1     0.979     d3:0.09; c6:26.99; c3:0.08; c3:26.47; c2:0.07; c2:0.05; c2:0.07
146 T1132TS098_1o      098s    GuijunLab-Assembly   0.921    0.939    6        A6       D3        6        0.09     308      0        79.5     86.07      75.68       0.876      0.772      0.82           6          582        0.06     1.20       0.43       4059.8     2930.6     2279.1     0.979     d3:0.09; c6:26.99; c3:0.08; c3:26.47; c2:0.07; c2:0.05; c2:0.07
147 T1132TS147_2o      147     SHT                  0.921    0.942    6        A6       D3        6        0.07     291      0        85.3     91.16      80.73       0.892      0.816      0.87           6          582        0.06     1.14       0.44       2760.0     2410.6     1499.3     0.981     d3:0.06; c6:26.96; c3:0.05; c3:26.47; c2:0.05; c2:0.05; c2:0.05
148 T1132TS444_5o      444     CoDock               0.920    0.934    6        A6       D3        6        0.43     302      0        81.8     83.38      80.48       0.884      0.830      0.83           6          582        0.04     0.91       0.40       2066.8     2037.3     1179.3     0.988     d3:0.42; c6:26.88; c3:0.42; c3:26.11; c2:0.36; c2:0.09; c2:0.35
149 T1132TS444_1o      444     CoDock               0.920    0.939    6        A6       D3        6        0.43     325      0        83.6     84.02      83.95       0.879      0.853      0.86           6          582        0.03     0.94       0.53       1723.1     1180.6     1692.4     0.987     d3:0.42; c6:26.78; c3:0.42; c3:26.03; c2:0.36; c2:0.06; c2:0.36
150 T1132TS185_4o      185     BAKER                0.920    0.937    6        A6       D3        6        0.00     327      0        84.3     85.96      82.87       0.853      0.822      0.90           6          582        0.05     1.17       0.46       2563.0     2775.4     937.5      0.981     d3:0.00; c6:27.17; c3:0.00; c3:24.75; c2:0.00; c2:0.00; c2:0.00
151 T1132TS188_1o      188s    GuijunLab-DeepDA     0.919    0.937    6        A6       D3        6        0.07     321      0        81.6     88.04      78.09       0.893      0.773      0.84           6          582        0.07     1.34       0.36       3896.4     3324.2     1722.1     0.975     d3:0.07; c6:26.90; c3:0.06; c3:26.45; c2:0.05; c2:0.05; c2:0.05
152 T1132TS098_2o      098s    GuijunLab-Assembly   0.919    0.937    6        A6       D3        6        0.08     321      0        82.0     88.59      78.36       0.893      0.775      0.85           6          582        0.07     1.35       0.36       3887.6     3319.5     1718.0     0.975     d3:0.07; c6:26.90; c3:0.07; c3:26.45; c2:0.06; c2:0.06; c2:0.06
153 T1132TS147_5o      147     SHT                  0.918    0.939    6        A6       D3        6        0.07     289      0        83.3     84.81      82.34       0.855      0.814      0.85           6          582        0.07     1.22       0.46       1383.7     1206.4     1327.2     0.979     d3:0.06; c6:26.88; c3:0.06; c3:26.41; c2:0.04; c2:0.05; c2:0.04
154 T1132TS147_1o      147     SHT                  0.918    0.939    6        A6       D3        6        0.07     289      0        84.2     89.78      79.93       0.887      0.802      0.86           6          582        0.07     1.22       0.46       2647.4     2202.7     1594.6     0.979     d3:0.06; c6:26.88; c3:0.06; c3:26.41; c2:0.04; c2:0.05; c2:0.04
155 T1132TS185_5o      185     BAKER                0.916    0.932    6        A6       D3        6        0.00     327      0        83.6     88.71      79.94       0.841      0.804      0.80           6          582        0.04     1.06       0.57       3333.1     2840.3     1642.7     0.984     d3:0.00; c6:27.40; c3:0.00; c3:31.67; c2:0.00; c2:0.00; c2:0.00
156 T1132TS374_5o      374     Zheng                0.908    0.925    6        A6       D3        6        0.05     307      0        82.0     86.74      78.60       0.888      0.746      0.84           6          582        0.10     1.67       0.37       2726.2     2672.3     1203.7     0.962     d3:0.05; c6:26.52; c3:0.04; c3:26.15; c2:0.04; c2:0.03; c2:0.04
157 T1132TS312_1o      312     Fernandez-Recio      0.902    0.917    6        A6       D3        6        1.40     339      0        83.6     89.25      79.39       0.882      0.821      0.86           6          582        0.06     1.31       0.72       1666.1     1420.3     1395.6     0.977     d3:1.27; c6:26.71; c3:1.13; c3:26.12; c2:0.92; c2:1.00; c2:1.02
158 T1132TS494_3o      494     Venclovas            0.901    0.928    6        A6       D3        6        0.22     370      0        81.6     81.78      82.36       0.847      0.827      0.85           6          576        0.03     1.29       0.62       628.1      1980.8     -202.8     0.961     d3:0.20; c6:25.39; c3:0.17; c3:24.92; c2:0.17; c2:0.17; c2:0.16
159 T1132TS312_2o      312     Fernandez-Recio      0.897    0.913    6        A6       D3        6        1.81     327      0        82.5     88.54      78.09       0.881      0.808      0.84           6          582        0.04     1.49       0.63       1822.0     1522.9     1449.0     0.971     d3:1.61; c6:26.79; c3:1.51; c3:26.18; c2:0.92; c2:1.36; c2:1.30
160 T1132TS385_1o      385     FoldEver-Hybrid      0.895    0.922    6        A6       D3        6        0.02     321      6        79.7     86.31      75.42       0.871      0.781      0.84           6          582        0.06     1.20       0.52       2710.3     2156.1     1704.1     0.980     d3:0.02; c6:26.83; c3:0.01; c3:26.39; c2:0.01; c2:0.01; c2:0.01
161 T1132TS312_3o      312     Fernandez-Recio      0.889    0.905    6        A6       D3        6        1.78     316      0        79.9     88.50      74.87       0.875      0.782      0.82           6          582        0.05     1.52       0.69       2089.8     1630.1     1609.5     0.970     d3:1.63; c6:27.05; c3:1.52; c3:26.07; c2:0.94; c2:1.38; c2:1.31
162 T1132TS444_3o      444     CoDock               0.883    0.889    6        A6       D3        6        0.49     294      0        69.9     75.27      65.78       0.816      0.777      0.79           6          582        0.03     1.15       0.72       2246.5     2016.0     1380.4     0.980     d3:0.48; c6:26.83; c3:0.48; c3:26.07; c2:0.41; c2:0.06; c2:0.41
163 T1132TS205_2o      205     Zou                  0.876    0.929    6        A6       D3        6        2.57     360      0        82.9     79.47      87.18       0.744      0.782      0.84           6          582        0.02     2.18       0.78       2877.4     1711.0     2316.3     0.944     d3:2.34; c6:26.12; c3:1.93; c3:17.88; c2:1.90; c2:1.99; c2:1.83; c2:20.18
164 T1132TS278_1o      278     PEZYFoldings         0.848    0.864    6        A6       D3        6        0.05     293      0        70.3     73.98      68.74       0.828      0.689      0.72           6          582        0.05     1.44       0.65       2792.0     2697.3     1244.5     0.972     d3:0.05; c6:27.23; c3:0.04; c3:26.61; c2:0.03; c2:0.03; c2:0.04
165 T1132TS348_5o      348     Takeda-Shitaka_Lab   0.844    0.862    6        A6       D3        6        0.20     276      0        73.4     77.21      70.85       0.840      0.698      0.76           6          582        0.07     1.51       0.72       2656.0     1989.5     1816.4     0.969     d3:0.18; c6:28.60; c3:0.16; c3:25.51; c2:0.14; c2:0.14; c2:0.14
166 T1132TS447_4o      447     DELCLAB              0.831    0.849    6        A6       D3        6        0.91     367      0        75.5     71.76      80.21       0.790      0.752      0.75           6          582        0.05     1.44       0.72       -1563.6    -1437.7    1024.0     0.974     d3:0.84; c6:27.55; c3:0.80; c3:24.76; c2:0.44; c2:0.68; c2:0.69
167 T1132TS494_2o      494     Venclovas            0.831    0.847    6        A6       D3        6        0.08     286      0        74.4     79.87      70.58       0.831      0.699      0.77           6          582        0.04     1.32       0.50       2613.3     2264.6     1498.7     0.976     d3:0.08; c6:27.19; c3:0.07; c3:26.58; c2:0.04; c2:0.06; c2:0.06
168 T1132TS447_3o      447     DELCLAB              0.831    0.849    6        A6       D3        6        0.91     367      0        75.5     71.76      80.21       0.790      0.752      0.75           6          582        0.05     1.44       0.72       -1563.6    -1437.7    1024.0     0.974     d3:0.84; c6:27.55; c3:0.80; c3:24.76; c2:0.44; c2:0.68; c2:0.69
169 T1132TS447_5o      447     DELCLAB              0.827    0.845    6        A6       D3        6        1.14     379      0        75.3     70.67      81.54       0.788      0.750      0.74           6          582        0.05     1.53       0.75       -1542.6    -1198.8    806.1      0.969     d3:1.03; c6:24.82; c3:1.01; c3:17.05; c2:0.83; c2:0.90; c2:0.37; c2:19.33
170 T1132TS187_5o      187     TRFold               0.826    0.840    6        A6       D3        6        1.27     280      0        68.5     77.86      67.65       0.802      0.651      0.69           6          582        0.06     2.02       0.75       3297.8     3159.8     1287.9     0.947     d3:1.16; c6:27.35; c3:1.15; c3:26.46; c2:0.79; c2:0.73; c2:0.94
171 T1132TS423_5o      423     trComplex            0.826    0.840    6        A6       D3        6        1.27     280      0        68.5     77.86      67.65       0.802      0.651      0.69           6          582        0.06     2.02       0.75       3297.8     3159.8     1287.9     0.947     d3:1.16; c6:27.35; c3:1.15; c3:26.46; c2:0.79; c2:0.73; c2:0.94
172 T1132TS447_2o      447     DELCLAB              0.825    0.844    6        A6       D3        6        0.75     366      0        72.9     69.09      77.53       0.791      0.734      0.74           6          582        0.05     1.44       0.75       -1497.1    -1313.3    966.1      0.973     d3:0.68; c6:25.03; c3:0.66; c3:17.06; c2:0.61; c2:0.42; c2:0.46; c2:19.55
173 T1132TS447_1o      447     DELCLAB              0.825    0.844    6        A6       D3        6        0.75     366      0        72.9     69.09      77.53       0.791      0.734      0.74           6          582        0.05     1.44       0.75       -1497.1    -1313.3    966.1      0.973     d3:0.68; c6:25.03; c3:0.66; c3:17.06; c2:0.61; c2:0.42; c2:0.46; c2:19.55
