    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1124TS229_1o      229s    Yang-Server          0.928    0.952    2        A2       C2        2        0.08     363      3        88.8     89.50      88.10       0.832      0.782      0.87           2          720        0.03     1.96       1.00       3744.7     -890.9     4635.6     0.951     c3:15.46; c2:0.06
112 T1124TS390_1o      390s    NBIS-AF2-multimer    0.880    0.918    2        A2       C2        2        0.08     356      2        84.8     79.50      90.90       0.861      0.760      0.82           2          720        0.03     1.90       1.46       4206.1     1817.8     2388.3     0.956     c3:15.37; c2:0.06
113 T1124TS187_5o      187     TRFold               0.880    0.949    2        A2       C2        2        0.78     374      0        83.7     79.30      88.70       0.844      0.817      0.81           2          720        0.02     1.47       1.06       -457.4     -295.2     -162.1     0.963     c3:15.26; c2:0.53
114 T1124TS037_4o      037     Wallner              0.880    0.916    2        A2       C2        2        0.58     361      2        83.8     80.40      87.50       0.871      0.816      0.83           2          720        0.01     1.25       1.39       4261.3     1638.8     2622.5     0.975     c3:15.64; c2:0.40
115 T1124TS360_2o      360     MUFold_H             0.879    0.928    2        A2       C2        2        1.63     372      2        84.7     81.10      88.70       0.864      0.732      0.84           2          720        0.04     1.97       1.41       4915.2     2126.4     2788.8     0.943     c3:16.18; c2:1.15
116 T1124TS352_2o      352     KORP-PL              0.879    0.918    2        A2       C2        2        0.00     358      2        84.7     79.30      90.90       0.861      0.760      0.82           2          720        0.03     1.90       1.47       4174.8     1837.8     2337.1     0.955     c3:25.58; c2:0.00
117 T1124TS360_4o      360     MUFold_H             0.879    0.917    2        A2       C2        2        0.23     351      4        83.9     80.10      88.10       0.861      0.790      0.83           2          720        0.03     1.52       1.38       4403.7     1660.6     2743.1     0.960     c3:15.80; c2:0.16
118 T1124TS188_3o      188s    GuijunLab-DeepDA     0.879    0.927    2        A2       C2        2        0.91     365      4        84.3     80.00      89.00       0.869      0.790      0.84           2          720        0.02     1.36       1.33       4060.0     1723.3     2336.7     0.963     c3:16.15; c2:0.63
119 T1124TS460_3o      460     Convex-PL-R          0.879    0.918    2        A2       C2        2        0.00     358      2        84.7     79.30      90.90       0.861      0.760      0.82           2          720        0.03     1.90       1.47       4174.8     1837.8     2337.1     0.955     c3:25.58; c2:0.00
120 T1124TS098_2o      098s    GuijunLab-Assembly   0.879    0.927    2        A2       C2        2        0.91     365      4        84.3     80.00      89.00       0.869      0.790      0.84           2          720        0.02     1.36       1.33       4060.0     1723.3     2336.7     0.963     c3:16.15; c2:0.63
121 T1124TS150_1o      150     Grudinin             0.879    0.918    2        A2       C2        2        0.00     358      2        84.7     79.30      90.90       0.861      0.760      0.82           2          720        0.03     1.90       1.47       4174.8     1837.8     2337.1     0.955     c3:25.58; c2:0.00
122 T1124TS338_1o      338     Convex-PL            0.879    0.918    2        A2       C2        2        0.00     358      2        84.7     79.30      90.90       0.861      0.760      0.82           2          720        0.03     1.90       1.47       4174.8     1837.8     2337.1     0.955     c3:25.58; c2:0.00
123 T1124TS147_3o      147     SHT                  0.878    0.917    2        A2       C2        2        0.09     355      3        83.8     79.00      89.30       0.854      0.754      0.80           2          720        0.03     1.91       1.48       4244.4     2074.1     2170.3     0.955     c3:15.38; c2:0.06
124 T1124TS098_3o      098s    GuijunLab-Assembly   0.877    0.925    2        A2       C2        2        0.74     368      4        82.8     78.30      87.80       0.869      0.784      0.84           2          720        0.02     1.41       1.33       3632.7     1586.6     2046.1     0.962     c3:16.21; c2:0.52
125 T1124TS446_5o      446s    ColabFold            0.877    0.924    2        A2       C2        2        0.78     366      2        83.5     78.90      88.70       0.851      0.697      0.83           2          720        0.05     2.31       1.61       4378.2     1848.4     2529.8     0.929     c3:15.82; c2:0.55
126 T1124TS091_3o      091     UNRES                0.877    0.922    2        A2       C2        2        0.56     352      2        81.5     79.30      83.80       0.799      0.744      0.81           2          720        0.03     1.84       1.43       5832.6     2835.9     2996.7     0.956     c3:15.46; c2:0.37
127 T1124TS461_5o      461     colabfold_human      0.877    0.924    2        A2       C2        2        0.78     366      2        83.5     78.90      88.70       0.851      0.697      0.83           2          720        0.05     2.31       1.61       4378.2     1848.4     2529.8     0.929     c3:15.82; c2:0.55
128 T1124TS188_4o      188s    GuijunLab-DeepDA     0.877    0.925    2        A2       C2        2        0.74     368      4        82.8     78.30      87.80       0.869      0.784      0.84           2          720        0.02     1.41       1.33       3632.7     1586.6     2046.1     0.962     c3:16.21; c2:0.52
129 T1124TS288_1o      288s    DFolding-server      0.877    0.914    2        A2       C2        2        0.18     355      4        83.7     80.60      87.20       0.834      0.618      0.81           2          720        0.05     3.06       2.32       3856.4     1657.3     2199.1     0.916     c3:15.17; c2:0.12
130 T1124TS037_1o      037     Wallner              0.876    0.908    2        A2       C2        2        0.32     347      4        83.0     78.50      88.10       0.832      0.597      0.82           2          720        0.05     2.94       2.05       4645.0     1959.2     2685.8     0.913     c3:15.90; c2:0.22
131 T1124TS239_2o      239s    Yang-Multimer        0.876    0.921    2        A2       C2        2        0.49     365      4        81.8     78.30      85.70       0.815      0.682      0.83           2          720        0.04     2.34       1.47       4415.2     -674.5     5089.8     0.928     c3:16.13; c2:0.34
132 T1124TS187_1o      187     TRFold               0.876    0.924    2        A2       C2        2        0.58     346      4        83.8     81.10      86.60       0.842      0.648      0.80           2          720        0.04     2.76       2.31       914.3      451.8      462.5      0.952     c3:15.14; c2:0.40
133 T1124TS229_2o      229s    Yang-Server          0.876    0.921    2        A2       C2        2        0.49     365      4        81.8     78.30      85.70       0.815      0.682      0.83           2          720        0.04     2.34       1.47       4415.2     -674.5     5089.8     0.928     c3:16.13; c2:0.34
134 T1124TS423_1o      423     trComplex            0.876    0.924    2        A2       C2        2        0.58     346      4        83.8     81.10      86.60       0.842      0.648      0.80           2          720        0.04     2.76       2.31       914.3      451.8      462.5      0.952     c3:15.14; c2:0.40
135 T1124TS054_2o      054     UltraFold            0.875    0.919    2        A2       C2        2        0.10     368      2        83.8     78.60      89.60       0.844      0.696      0.84           2          720        0.05     2.61       1.65       4021.6     1677.4     2344.2     0.925     c3:15.41; c2:0.07
136 T1124TS360_3o      360     MUFold_H             0.875    0.911    2        A2       C2        2        1.75     364      4        83.7     80.00      87.80       0.867      0.774      0.84           2          720        0.02     1.46       1.43       4238.6     1646.2     2592.5     0.961     c3:15.93; c2:1.24
137 T1124TS125_2o      125s    UltraFold_Server     0.875    0.919    2        A2       C2        2        0.10     368      2        83.8     78.60      89.60       0.844      0.696      0.84           2          720        0.05     2.61       1.65       4021.6     1677.4     2344.2     0.925     c3:15.41; c2:0.07
138 T1124TS399_2o      399     BeijingAIProtein     0.875    0.919    2        A2       C2        2        0.10     368      2        83.8     78.60      89.60       0.844      0.696      0.84           2          720        0.05     2.61       1.65       4021.6     1677.4     2344.2     0.925     c3:15.41; c2:0.07
139 T1124TS071_3o      071s    RaptorX-Multimer     0.873    0.927    2        A2       C2        2        0.06     365      2        84.5     81.00      88.40       0.831      0.703      0.81           2          720        0.04     2.49       1.50       4498.7     1895.2     2603.5     0.934     c3:15.38; c2:0.04
140 T1124TS188_1o      188s    GuijunLab-DeepDA     0.873    0.920    2        A2       C2        2        1.01     348      2        79.6     78.40      80.80       0.856      0.762      0.81           2          720        0.02     1.36       1.33       4718.1     2510.5     2207.6     0.964     c3:16.05; c2:0.67
141 T1124TS073_1o      073s    DFolding-refine      0.873    0.909    2        A2       C2        2        0.31     358      2        84.1     81.80      86.60       0.797      0.616      0.82           2          720        0.05     3.07       2.33       3715.8     1782.7     1933.2     0.916     c3:15.17; c2:0.22
142 T1124TS054_1o      054     UltraFold            0.872    0.916    2        A2       C2        2        0.17     343      2        83.0     79.20      87.20       0.846      0.745      0.85           2          720        0.03     1.88       1.57       3951.0     1577.0     2374.0     0.956     c3:15.44; c2:0.12
143 T1124TS399_1o      399     BeijingAIProtein     0.872    0.916    2        A2       C2        2        0.17     343      2        83.0     79.20      87.20       0.846      0.745      0.85           2          720        0.03     1.88       1.57       3951.0     1577.0     2374.0     0.956     c3:15.44; c2:0.12
144 T1124TS125_1o      125s    UltraFold_Server     0.872    0.916    2        A2       C2        2        0.17     343      2        83.0     79.20      87.20       0.846      0.745      0.85           2          720        0.03     1.88       1.57       3951.0     1577.0     2374.0     0.956     c3:15.44; c2:0.12
145 T1124TS046_4o      046s    Manifold-LC-E        0.871    0.896    2        A2       C1        2        0.00     337      1        82.6     80.60      84.80       0.791      0.501      0.79           2          720        0.06     3.77       2.04       6130.4     3334.8     2795.6     0.859     c3:13.01; c2:8.59
146 T1124TS298_4o      298s    MUFold               0.871    0.924    2        A2       C2        2        0.10     364      4        83.6     79.60      88.10       0.863      0.809      0.83           2          720        0.02     1.47       1.36       3240.8     1261.0     1979.8     0.967     c3:15.38; c2:0.07
147 T1124TS350_4o      350     ClusPro              0.871    0.917    2        A2       C2        2        0.10     362      2        82.3     77.90      87.20       0.843      0.744      0.85           2          720        0.04     1.97       1.54       3202.1     1276.0     1926.1     0.951     c3:15.43; c2:0.07
148 T1124TS035_4o      035s    Manifold-E           0.871    0.896    2        A2       C1        2        0.00     337      1        82.6     80.60      84.80       0.791      0.501      0.79           2          720        0.06     3.77       2.04       6130.4     3334.8     2795.6     0.859     c3:13.01; c2:8.59
149 T1124TS350_1o      350     ClusPro              0.871    0.917    2        A2       C2        2        0.10     362      2        82.3     77.90      87.20       0.843      0.744      0.85           2          720        0.04     1.97       1.54       3202.1     1276.0     1926.1     0.951     c3:15.43; c2:0.07
150 T1124TS054_5o      054     UltraFold            0.870    0.916    2        A2       C2        2        1.89     377      2        84.2     78.90      90.20       0.871      0.751      0.82           2          720        0.03     1.78       1.42       3985.0     1651.1     2333.9     0.950     c3:16.22; c2:1.33
151 T1124TS125_5o      125s    UltraFold_Server     0.870    0.916    2        A2       C2        2        1.89     377      2        84.2     78.90      90.20       0.871      0.751      0.82           2          720        0.03     1.78       1.42       3985.0     1651.1     2333.9     0.950     c3:16.22; c2:1.33
152 T1124TS399_5o      399     BeijingAIProtein     0.870    0.916    2        A2       C2        2        1.89     377      2        84.2     78.90      90.20       0.871      0.751      0.82           2          720        0.03     1.78       1.42       3985.0     1651.1     2333.9     0.950     c3:16.22; c2:1.33
153 T1124TS185_4o      185     BAKER                0.869    0.904    2        A2       C2        2        0.01     351      1        81.1     80.50      81.70       0.825      0.670      0.80           2          720        0.02     2.11       1.85       5549.5     2815.6     2733.9     0.944     c3:15.19; c2:0.01
154 T1124TS185_2o      185     BAKER                0.869    0.904    2        A2       C2        2        0.01     351      1        81.1     80.50      81.70       0.825      0.670      0.80           2          720        0.02     2.11       1.85       5542.2     2810.3     2731.9     0.944     c3:15.19; c2:0.01
155 T1124TS091_2o      091     UNRES                0.869    0.905    2        A2       C2        2        0.66     348      0        79.6     79.60      79.60       0.801      0.736      0.80           2          720        0.03     1.81       1.54       6278.0     2927.6     3350.4     0.958     c3:15.45; c2:0.42
156 T1124TS091_5o      091     UNRES                0.869    0.912    2        A2       C2        2        0.74     356      1        78.9     79.10      78.70       0.787      0.732      0.82           2          720        0.03     1.79       1.49       6091.9     2985.7     3106.3     0.959     c3:15.50; c2:0.46
157 T1124TS037_3o      037     Wallner              0.868    0.914    2        A2       C2        2        0.58     348      2        81.0     76.60      86.00       0.856      0.692      0.82           2          720        0.03     1.93       1.87       3185.5     1270.6     1914.9     0.952     c3:15.90; c2:0.38
158 T1124TS423_2o      423     trComplex            0.866    0.916    2        A2       C2        2        0.24     366      2        81.5     78.00      85.40       0.857      0.762      0.80           2          720        0.03     1.75       1.58       4080.4     1551.0     2529.4     0.959     c3:15.44; c2:0.17
159 T1124TS187_2o      187     TRFold               0.866    0.916    2        A2       C2        2        0.24     366      2        81.5     78.00      85.40       0.857      0.762      0.80           2          720        0.03     1.75       1.58       4080.4     1551.0     2529.4     0.959     c3:15.44; c2:0.17
160 T1124TS494_1o      494     Venclovas            0.866    0.912    2        A2       C2        2        1.25     366      2        83.4     79.20      88.10       0.857      0.763      0.81           2          720        0.03     1.81       1.51       4239.6     1958.2     2281.4     0.958     c3:15.53; c2:0.88
161 T1124TS054_4o      054     UltraFold            0.865    0.912    2        A2       C2        2        1.08     366      4        81.9     78.00      86.30       0.860      0.746      0.82           2          720        0.03     1.71       1.44       4237.8     1726.7     2511.1     0.953     c3:15.80; c2:0.76
162 T1124TS399_4o      399     BeijingAIProtein     0.865    0.912    2        A2       C2        2        1.08     366      4        81.9     78.00      86.30       0.860      0.746      0.82           2          720        0.03     1.71       1.44       4237.8     1726.7     2511.1     0.953     c3:15.80; c2:0.76
163 T1124TS125_4o      125s    UltraFold_Server     0.865    0.912    2        A2       C2        2        1.08     366      4        81.9     78.00      86.30       0.860      0.746      0.82           2          720        0.03     1.71       1.44       4237.8     1726.7     2511.1     0.953     c3:15.80; c2:0.76
164 T1124TS298_1o      298s    MUFold               0.863    0.908    2        A2       C2        2        2.89     354      3        82.2     80.10      84.50       0.851      0.769      0.82           2          720        0.02     1.61       1.51       2654.1     689.1      1965.0     0.964     c3:15.47; c2:2.04
165 T1124TS091_1o      091     UNRES                0.863    0.899    2        A2       C2        2        0.72     342      1        78.1     76.40      79.90       0.801      0.731      0.80           2          720        0.03     1.82       1.56       6516.1     3012.1     3504.0     0.958     c3:15.40; c2:0.44
166 T1124TS125_3o      125s    UltraFold_Server     0.862    0.914    2        A2       C2        2        1.52     364      3        82.3     77.40      87.80       0.867      0.769      0.83           2          720        0.02     1.44       1.44       3647.0     1479.1     2167.9     0.961     c3:16.03; c2:1.05
167 T1124TS399_3o      399     BeijingAIProtein     0.862    0.914    2        A2       C2        2        1.52     364      3        82.3     77.40      87.80       0.867      0.769      0.83           2          720        0.02     1.44       1.44       3647.0     1479.1     2167.9     0.961     c3:16.03; c2:1.05
168 T1124TS054_3o      054     UltraFold            0.862    0.914    2        A2       C2        2        1.52     364      3        82.3     77.40      87.80       0.867      0.769      0.83           2          720        0.02     1.44       1.44       3647.0     1479.1     2167.9     0.961     c3:16.03; c2:1.05
169 T1124TS350_3o      350     ClusPro              0.861    0.907    2        A2       C2        2        0.32     358      0        82.2     78.80      86.00       0.831      0.734      0.86           2          720        0.04     2.01       1.63       3351.2     1243.1     2108.0     0.950     c3:15.49; c2:0.23
170 T1124TS350_5o      350     ClusPro              0.860    0.908    2        A2       C2        2        0.27     357      0        81.9     78.50      85.70       0.835      0.733      0.85           2          720        0.04     2.02       1.63       3292.0     1165.7     2126.3     0.950     c3:15.46; c2:0.19
171 T1124TS350_2o      350     ClusPro              0.860    0.908    2        A2       C2        2        0.27     357      0        81.9     78.50      85.70       0.835      0.733      0.85           2          720        0.04     2.02       1.63       3292.0     1165.7     2126.3     0.950     c3:15.46; c2:0.19
172 T1124TS347_1o      347     AIchemy_LIG3         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
173 T1124TS347_4o      347     AIchemy_LIG3         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
174 T1124TS325_2o      325     AIchemy_LIG          0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
175 T1124TS374_2o      374     Zheng                0.859    0.906    2        A2       C2        2        0.11     348      4        81.1     76.50      86.30       0.826      0.571      0.82           2          720        0.06     3.19       2.12       4023.9     1674.3     2349.6     0.904     c3:16.02; c2:0.08
176 T1124TS347_5o      347     AIchemy_LIG3         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
177 T1124TS325_3o      325     AIchemy_LIG          0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
178 T1124TS456_2o      456     AIchemy_LIG2         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
179 T1124TS325_5o      325     AIchemy_LIG          0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
180 T1124TS347_2o      347     AIchemy_LIG3         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
181 T1124TS456_4o      456     AIchemy_LIG2         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
182 T1124TS456_5o      456     AIchemy_LIG2         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
183 T1124TS325_4o      325     AIchemy_LIG          0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
184 T1124TS325_1o      325     AIchemy_LIG          0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
185 T1124TS347_3o      347     AIchemy_LIG3         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
186 T1124TS456_3o      456     AIchemy_LIG2         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
187 T1124TS456_1o      456     AIchemy_LIG2         0.859    0.906    2        A2       C2        2        0.15     343      2        81.2     77.70      85.10       0.844      0.669      0.82           2          720        0.03     2.08       1.95       3488.7     1117.4     2371.3     0.946     c3:15.98; c2:0.09
188 T1124TS348_2o      348     Takeda-Shitaka_Lab   0.858    0.906    2        A2       C2        2        0.58     367      4        83.4     79.90      87.20       0.865      0.772      0.82           2          720        0.02     1.46       1.45       4529.8     1703.5     2826.3     0.961     c3:15.93; c2:0.41
189 T1124TS360_5o      360     MUFold_H             0.858    0.915    2        A2       C2        2        0.61     370      4        83.5     79.00      88.40       0.867      0.768      0.84           2          720        0.02     1.50       1.47       4187.5     1550.8     2636.7     0.960     c3:15.82; c2:0.43
190 T1124TS288_2o      288s    DFolding-server      0.858    0.902    2        A2       C2        2        0.19     377      2        81.7     77.00      86.90       0.824      0.613      0.80           2          720        0.06     3.14       2.09       3828.7     1464.3     2364.4     0.910     c3:15.33; c2:0.13
191 T1124TS185_5o      185     BAKER                0.857    0.906    2        A2       C2        2        0.01     355      0        81.0     79.50      82.60       0.821      0.670      0.81           2          720        0.01     2.13       1.88       5099.3     2545.6     2553.7     0.944     c3:15.31; c2:0.01
192 T1124TS374_3o      374     Zheng                0.855    0.921    2        A2       C2        2        0.07     358      4        81.8     77.20      86.90       0.853      0.720      0.83           2          720        0.03     1.93       1.71       2043.6     528.6      1515.0     0.951     c3:15.17; c2:0.05
193 T1124TS073_2o      073s    DFolding-refine      0.854    0.898    2        A2       C2        2        0.32     369      2        83.0     79.40      86.90       0.784      0.611      0.84           2          720        0.06     3.14       2.08       3857.9     1543.8     2314.2     0.910     c3:15.32; c2:0.22
194 T1124TS374_4o      374     Zheng                0.854    0.898    2        A2       C2        2        0.17     339      4        82.5     78.50      86.90       0.854      0.710      0.82           2          720        0.03     2.02       1.91       1692.3     611.2      1081.1     0.957     c3:15.26; c2:0.12
195 T1124TS374_1o      374     Zheng                0.854    0.899    2        A2       C2        2        0.06     342      4        81.9     78.50      85.70       0.846      0.627      0.78           2          720        0.04     2.87       2.45       2871.0     1552.4     1318.6     0.939     c3:15.04; c2:0.04
196 T1124TS348_3o      348     Takeda-Shitaka_Lab   0.852    0.919    2        A2       C2        2        0.32     368      0        81.3     76.50      86.60       0.842      0.756      0.82           2          720        0.03     1.87       1.60       4036.4     1514.4     2522.0     0.955     c3:15.82; c2:0.22
197 T1124TS169_2o      169     GuijunLab-Human      0.850    0.924    2        A2       C2        2        0.18     376      2        83.6     78.60      89.30       0.862      0.747      0.83           2          720        0.04     1.97       1.55       3668.3     1546.2     2122.1     0.952     c3:15.49; c2:0.13
198 T1124TS304_4o      304     Manifold-X           0.849    0.921    2        A2       C2        2        0.01     369      0        82.7     76.60      89.90       0.836      0.656      0.83           2          720        0.05     2.71       1.69       4162.6     2006.5     2156.2     0.912     c3:15.71; c2:0.00
199 T1124TS046_2o      046s    Manifold-LC-E        0.849    0.921    2        A2       C2        2        0.31     371      1        82.8     77.00      89.60       0.838      0.657      0.83           2          720        0.05     2.69       1.69       4356.4     2262.0     2094.4     0.913     c3:15.67; c2:0.22
200 T1124TS367_5o      367     MULTICOM             0.849    0.916    2        A2       C2        2        0.12     345      4        79.4     75.20      84.10       0.845      0.655      0.79           2          720        0.04     2.39       2.24       3578.3     1928.1     1650.2     0.948     c3:15.33; c2:0.08
201 T1124TS248_4o      248     Manifold             0.849    0.921    2        A2       C2        2        0.01     369      0        82.7     76.60      89.90       0.836      0.656      0.83           2          720        0.05     2.71       1.69       4162.6     2006.5     2156.2     0.912     c3:15.71; c2:0.00
202 T1124TS169_1o      169     GuijunLab-Human      0.849    0.922    2        A2       C2        2        0.16     376      4        80.9     75.60      86.90       0.870      0.761      0.81           2          720        0.03     1.75       1.51       3575.2     1520.9     2054.4     0.961     c3:15.80; c2:0.12
203 T1124TS035_1o      035s    Manifold-E           0.849    0.921    2        A2       C2        2        0.31     371      1        82.8     77.00      89.60       0.838      0.657      0.83           2          720        0.05     2.69       1.69       4356.4     2262.0     2094.4     0.913     c3:15.67; c2:0.22
204 T1124TS398_1o      398     ChaePred             0.848    0.870    2        A2       C2        2        1.82     409      10       75.9     69.30      83.80       0.837      0.664      0.75           2          720        0.05     2.16       1.65       4277.2     1473.2     2804.0     0.931     c3:14.94; c2:1.01
205 T1124TS165_1o      165     FTBiot0119           0.848    0.870    2        A2       C2        2        1.82     409      10       75.9     69.30      83.80       0.837      0.664      0.75           2          720        0.05     2.16       1.65       4277.2     1473.2     2804.0     0.931     c3:14.94; c2:1.01
206 T1124TS229_5o      229s    Yang-Server          0.847    0.922    2        A2       C2        2        0.21     384      4        79.8     75.80      84.10       0.813      0.627      0.80           2          720        0.05     2.72       1.72       4467.4     -733.5     5200.9     0.912     c3:15.64; c2:0.15
207 T1124TS239_5o      239s    Yang-Multimer        0.847    0.922    2        A2       C2        2        0.21     384      4        79.8     75.80      84.10       0.813      0.627      0.80           2          720        0.05     2.72       1.72       4467.4     -733.5     5200.9     0.912     c3:15.64; c2:0.15
208 T1124TS169_5o      169     GuijunLab-Human      0.847    0.916    2        A2       C2        2        0.18     370      4        81.7     75.90      88.40       0.855      0.702      0.82           2          720        0.04     2.19       1.57       4327.8     1747.2     2580.6     0.934     c3:15.78; c2:0.13
209 T1124TS188_5o      188s    GuijunLab-DeepDA     0.846    0.917    2        A2       C2        2        0.76     383      4        81.1     76.50      86.30       0.863      0.777      0.83           2          720        0.03     1.57       1.48       3636.8     1513.9     2122.8     0.960     c3:16.10; c2:0.53
210 T1124TS165_4o      165     FTBiot0119           0.845    0.865    2        A2       C2        2        1.74     461      14       72.0     63.80      82.60       0.770      0.623      0.76           2          720        0.07     2.86       1.70       4479.0     2076.4     2402.6     0.916     c3:14.47; c2:0.97
211 T1124TS348_4o      348     Takeda-Shitaka_Lab   0.844    0.916    2        A2       C2        2        0.75     381      4        81.2     76.10      87.20       0.857      0.759      0.80           2          720        0.03     1.68       1.39       3875.8     1334.5     2541.3     0.954     c3:15.91; c2:0.52
212 T1124TS374_5o      374     Zheng                0.844    0.918    2        A2       C2        2        0.06     372      2        80.6     76.20      85.70       0.830      0.695      0.81           2          720        0.04     2.53       1.67       2811.1     1056.3     1754.8     0.926     c3:15.18; c2:0.04
213 T1124TS131_4o      131s    Kiharalab_Server     0.842    0.895    2        A2       C2        2        0.10     333      4        80.3     78.70      82.00       0.817      0.561      0.82           2          720        0.06     3.35       2.52       4507.6     2155.1     2352.5     0.901     c3:15.30; c2:0.07
214 T1124TS185_1o      185     BAKER                0.842    0.900    2        A2       C2        2        0.02     372      0        80.4     79.50      81.40       0.823      0.666      0.81           2          720        0.02     2.28       1.96       5019.0     2445.2     2573.8     0.943     c3:15.51; c2:0.01
215 T1124TS185_3o      185     BAKER                0.842    0.900    2        A2       C2        2        0.02     372      0        80.4     79.50      81.40       0.823      0.666      0.81           2          720        0.02     2.28       1.96       5015.9     2441.5     2574.4     0.943     c3:15.51; c2:0.01
216 T1124TS278_1o      278     PEZYFoldings         0.840    0.909    2        A2       C2        2        0.07     360      0        81.0     76.30      86.30       0.825      0.671      0.78           2          720        0.03     2.67       1.90       4169.4     1820.8     2348.5     0.934     c3:15.38; c2:0.05
217 T1124TS165_2o      165     FTBiot0119           0.839    0.868    2        A2       C2        2        0.59     422      7        70.7     66.30      75.60       0.739      0.663      0.72           2          720        0.02     1.95       1.87       3162.4     1650.1     1512.3     0.950     c3:14.93; c2:0.33
218 T1124TS298_5o      298s    MUFold               0.836    0.910    2        A2       C2        2        0.11     376      4        79.8     74.70      85.70       0.849      0.742      0.77           2          720        0.02     1.74       1.70       3550.3     1500.2     2050.1     0.964     c3:15.64; c2:0.08
219 T1124TS165_3o      165     FTBiot0119           0.834    0.846    2        A2       C2        2        1.74     455      16       69.3     60.20      81.70       0.765      0.584      0.72           2          720        0.08     3.24       1.86       4773.6     2041.2     2732.4     0.897     c3:14.49; c2:0.97
220 T1124TS147_2o      147     SHT                  0.831    0.875    2        A2       C2        2        2.78     338      0        74.4     73.00      75.90       0.691      0.653      0.79           2          720        0.05     2.52       1.98       3280.5     2150.4     1130.0     0.928     c3:15.18; c2:1.93
221 T1124TS187_4o      187     TRFold               0.830    0.880    2        A2       C2        2        0.64     365      3        80.4     75.70      85.70       0.830      0.636      0.78           2          720        0.04     2.87       2.44       552.8      412.0      140.7      0.949     c3:15.12; c2:0.44
222 T1124TS423_4o      423     trComplex            0.830    0.880    2        A2       C2        2        0.64     365      3        80.4     75.70      85.70       0.830      0.636      0.78           2          720        0.04     2.87       2.44       552.8      412.0      140.7      0.949     c3:15.12; c2:0.44
223 T1124TS147_1o      147     SHT                  0.829    0.875    2        A2       C2        2        2.77     348      0        74.7     74.20      75.30       0.713      0.642      0.80           2          720        0.07     2.60       1.89       3114.6     1738.2     1376.4     0.925     c3:15.37; c2:1.95
224 T1124TS119_3o      119     Kiharalab            0.825    0.898    2        A2       C2        2        0.01     359      4        80.9     75.90      86.60       0.834      0.641      0.81           2          720        0.04     2.58       2.37       3504.9     1223.3     2281.6     0.938     c3:15.33; c2:0.01
